mag,spt,ag,pfine,d50,uwgwt,wt,wd,vts,outcome,,,,
8.1,2.2,0.2,72.5,0.15,100,0.4,8.0,1460,0,,,,
8.1,8.9,0.2,9.67,0.4,100,0.4,6.4,1214.784777,0,,,,
8.1,3.6,0.2,19.33,0.2,100,0.3,1.6,703.1574803,0,,,,
7,6.5,0.4,0,0.4,100,0.3,3.9,912.6948819,0,,,,
7,20.6,0.35,0,0.5,110,0.3,12.3,3084.25,0,,,,
7.6,7.9,0.09,5,0.15,100,0.3,3.3,1177.001312,1,,,,
7.6,10.9,0.16,2,0.2,100,0.3,3.0,3089.606299,0,,,,
7.6,11.1,0.16,2,0.2,100,0.3,3.0,2006.929134,1,,,,
7.6,11.3,0.16,2,0.2,110,0.3,3.0,3030.787402,1,,,,
7.6,6.6,0.16,0,0.4,100,0.3,2.0,1423.884514,1,,,,
7.6,6.8,0.16,10,0.4,120,0.3,0.0,1470,1,,,,
8.3,6.8,0.23,5,0.25,110,0.3,2.0,1632.5,0,,,,
8.3,9.6,0.2,21.67,0.12,110,0.6,2.5,1139.207935,0,,,,
8.3,14.4,0.21,3,0.25,100,0.4,0.0,2263.779528,1,,,,
6.6,3.7,0.45,65.25,0.05,110,0.2,14.0,1966.299213,1,,,,
6.6,7.9,0.45,59.3,0.07,110,0.9,16.3,2296.942257,1,,,,
7,7.4,0.13,67,0.06,110,0.3,5.0,3099.737533,0,,,,
7,14,0.2,48,0.08,110,0.2,5.0,2706.036745,0,,,,
7,11.4,0.2,20,0.1,110,0.2,5.0,2902.887139,0,,,,
7.5,4.7,0.14,3,0.8,60,0.3,5.0,2550,1,,,,
7.6,12.2,0.13,12,0.14,110,0.4,3.6,1735.564304,0,,,,
7.6,12.7,0.2,12,0.19,110,0.6,3.3,1837.31721,0,,,,
7.6,7.9,0.22,3,0.17,110,0.3,3.6,1381.233596,0,,,,
7.6,22.1,0.35,20,0.14,110,0.4,3.0,2211.286089,0,,,,
7.6,11.1,0.2,20,0.15,110,0.4,3.3,1693.733596,0,,,,
7.5,6.2,0.2,20,0.14,110,0.4,15.0,3150,0,,,,
7.5,8.4,0.2,20,0.14,110,0.3,22.0,4370,0,,,,
7.5,5.3,0.2,50,0.1,110,0.3,6.0,1740,0,,,,
6.5,7.9,0.12,5,0.7,110,0.3,1.6,1558.39895,0,,,,
7.7,12.4,0.2,0,0.45,110,0.3,3.0,1938.503937,0,,,,
7.7,12.2,0.24,20,0.15,110,0.3,8.0,1199.527559,0,,,,
7.7,5.7,0.2,10,0.15,110,2.0,4.6,1410.761155,0,,,,
7.7,13.5,0.28,5,0.53,100,0.3,9.8,1181.102362,0,,,,
